[16:52:20] Watching PR #30 (interval=20s, timeout=7200s)
[17:05:14] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:05:35] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:05:55] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:06:16] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:06:37] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:06:58] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:07:19] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:07:40] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:08:00] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:08:21] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:08:42] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:09:03] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:09:24] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:09:45] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:10:06] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:10:26] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:10:47] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:11:08] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
